book_id,subject_id
0,0
1,1
2,2
3,3
4,4
5,8
6,9
7,59
8,61
9,62
11,74
12,83
13,125
14,146
15,183
16,221
17,237
19,334
20,384
22,451
23,481
24,483
25,695
26,803
27,908
28,936
29,937
30,955
31,988
32,1168
33,1436
35,2849
36,2887
38,3089
40,4683
41,5793
42,7664
44,7730
47,8328
48,15015
49,19701
50,33271
51,49421
52,49425
54,52967
55,55388
56,62945
57,65106
58,74406
60,88118
61,97992
62,200770
63,267476
64,305955
65,368917
67,449236
69,538392
70,568925
72,650317
73,665210
74,741249
75,872975
76,1300830
77,1691085
78,2811351
81,2955916
82,4456866
83,5608218
84,5749177
85,5863219
87,7489188
88,8990644
90,9759841
91,13323845
93,21576290
95,27818040
96,34370298
97,49440148
98,59975388
99,61983333
119,69893622
121,73334733
127,74662201
138,76624103
163,81205132
180,85401068
192,91511977
193,100512496
199,131806676
201,268337885
205,273603708
216,290413489
217,316778241
219,473140141
221,556003785
226,623312497
229,683356253
237,686571782
241,688011683
247,893289272
