book_id,language_id
0,0
23,0
49,0
74,0
119,0
250,0
354,0
587,0
720,0
829,0
934,0
1757,0
3313,0
4697,0
5995,0
6654,0
8246,0
9539,0
18570,0
27147,0
44724,0
52531,0
67165,0
80391,0
94829,0
177624,0
290806,0
452323,0
623190,0
793833,0
886638,0
1533131,0
3332050,0
4691475,0
5710034,0
7347805,0
8600621,0
9627259,0
20281036,0
36174658,0
50555083,0
65548435,0
75953329,0
86460883,0
109958137,0
194291987,0
350332500,0
480645805,0
626605509,0
858882133,0
1,6
24,6
50,6
75,6
121,6
256,6
356,6
598,6
721,6
830,6
942,6
1846,6
3317,6
4830,6
6001,6
7037,6
8334,6
9557,6
18729,6
29838,6
44895,6
53606,6
67869,6
81271,6
95155,6
201947,6
295206,6
457526,6
630097,6
803063,6
897291,6
1559046,6
3371627,6
4700720,6
5757229,6
7474857,6
8683868,6
9652277,6
20453559,6
37428627,6
50899419,6
66417739,6
76460661,6
86783890,6
120542223,6
196289410,6
354679394,6
494956531,6
629580736,6
871712811,6
2,35
25,35
51,35
76,35
127,35
268,35
364,35
601,35
722,35
832,35
956,35
1863,35
3409,35
5047,35
6032,35
7043,35
8440,35
9639,35
19372,35
30256,35
44939,35
54557,35
68974,35
82433,35
95790,35
206704,35
297820,35
460524,35
632024,35
803680,35
899846,35
1586912,35
3444636,35
4736521,35
5967289,35
7579007,35
8819605,35
9730359,35
20796762,35
38063923,35
54181558,35
66606888,35
76922365,35
86969867,35
123269019,35
197560408,35
358387306,35
495464248,35
638862451,35
896640277,35
3,48
26,48
52,48
77,48
138,48
269,48
388,48
605,48
723,48
834,48
957,48
1878,48
3761,48
5084,48
6044,48
7092,48
8563,48
9653,48
19590,48
30350,48
45537,48
55290,48
68995,48
82690,48
96680,48
211820,48
302208,48
479277,48
634462,48
808397,48
903269,48
2004830,48
3505102,48
4810529,48
6038695,48
7579037,48
8865825,48
9738494,48
21252908,48
38070743,48
54669949,48
66765712,48
77001891,48
87349143,48
139469337,48
217229641,48
362049558,48
498710232,48
646471960,48
897218679,48
4,75
27,75
54,75
78,75
163,75
272,75
414,75
609,75
728,75
846,75
964,75
2035,75
3891,75
5104,75
6049,75
7190,75
8667,75
9681,75
20038,75
32485,75
45687,75
55427,75
69922,75
86867,75
96776,75
212022,75
328383,75
488196,75
640907,75
814096,75
917830,75
2067915,75
3506396,75
4846323,75
6068420,75
7824533,75
8881811,75
9862096,75
21430995,75
38313786,75
55323120,75
67278912,75
78197517,75
87483428,75
140619279,75
218150804,75
362317622,75
516832567,75
659546620,75
897934401,75
5,167
28,167
55,167
81,167
180,167
279,167
434,167
613,167
729,167
852,167
966,167
2115,167
3942,167
5129,167
6108,167
7323,167
8695,167
9770,167
20406,167
32787,167
45911,167
58009,167
69952,167
87159,167
97059,167
213564,167
336707,167
494143,167
646095,167
816101,167
938307,167
2121798,167
3603165,167
4943205,167
6201786,167
7825916,167
8896172,167
9886718,167
21522653,167
39259056,167
57850069,167
67992351,167
78953081,167
87575353,167
149874432,167
221441617,167
362455499,167
525914250,167
670907997,167
900460023,167
6,184
29,184
56,184
82,184
192,184
292,184
439,184
625,184
746,184
868,184
979,184
2125,184
3978,184
5136,184
6123,184
7393,184
8712,184
10040,184
20980,184
32913,184
46084,184
58725,184
70105,184
88298,184
97495,184
220241,184
338325,184
495515,184
682149,184
819195,184
944732,184
2195254,184
3775643,184
5123116,184
6225434,184
7877118,184
8919219,184
9964230,184
21863159,184
39315337,184
59358643,184
68174427,184
79330968,184
87911274,184
150256776,184
232530075,184
380084411,184
537883190,184
693535366,184
902424279,184
7,366
30,366
57,366
83,366
193,366
296,366
447,366
627,366
748,366
871,366
986,366
2189,366
4010,366
5161,366
6219,366
7398,366
8854,366
10410,366
21083,366
34271,366
46240,366
58729,366
70230,366
88648,366
99645,366
229468,366
339555,366
501977,366
683356,366
820433,366
953432,366
2255164,366
4000015,366
5169277,366
6273141,366
7883490,366
8946857,366
9979479,366
23037377,366
40838620,366
59457558,366
68938846,366
80447326,366
88021511,366
153695384,366
234987801,366
382300831,366
539844731,366
729230146,366
914667049,366
8,3733
31,3733
58,3733
84,3733
199,3733
298,3733
448,3733
630,3733
758,3733
872,3733
989,3733
2289,3733
4017,3733
5276,3733
6301,3733
7428,3733
8887,3733
10441,3733
21087,3733
34720,3733
46561,3733
59182,3733
70425,3733
88866,3733
100013,3733
230058,3733
344259,3733
517214,3733
698147,3733
821034,3733
959383,3733
2387978,3733
4020029,3733
5178015,3733
6451122,3733
7959945,3733
8961984,3733
9990745,3733
24716575,3733
41600790,3733
59536051,3733
69116243,3733
80771448,3733
90071911,3733
155921615,3733
244728887,3733
385068325,3733
547739740,3733
741030225,3733
915967121,3733
9,149674
32,149674
60,149674
85,149674
201,149674
305,149674
462,149674
640,149674
770,149674
873,149674
996,149674
2318,149674
4027,149674
5351,149674
6382,149674
7509,149674
9021,149674
11550,149674
21382,149674
35406,149674
47459,149674
59954,149674
71128,149674
88903,149674
112089,149674
236416,149674
349480,149674
521882,149674
700199,149674
824470,149674
980649,149674
2391135,149674
4059856,149674
5193926,149674
6468014,149674
7961128,149674
9047983,149674
11312157,149674
24779834,149674
42392204,149674
59550986,149674
69326640,149674
81232723,149674
90254161,149674
162084922,149674
246921465,149674
403025714,149674
571430563,149674
742430264,149674
920007230,149674
11,487559
33,487559
61,487559
87,487559
205,487559
306,487559
463,487559
642,487559
779,487559
879,487559
1257,487559
2468,487559
4073,487559
5488,487559
6413,487559
7529,487559
9074,487559
11902,487559
22131,487559
35859,487559
47695,487559
60038,487559
72599,487559
89495,487559
115990,487559
239162,487559
362683,487559
536373,487559
714417,487559
843152,487559
984298,487559
2646482,487559
4083561,487559
5210967,487559
6605456,487559
7970187,487559
9111906,487559
12348418,487559
24881437,487559
43375804,487559
60534239,487559
69502359,487559
81388869,487559
91786430,487559
163118720,487559
249048906,487559
408488280,487559
579035699,487559
745307156,487559
