bid,isbn,title,genre_id,fiction,edition,pub_date
0,308054068658,Voluptatem laudantium hic ut enim officia porro.,102,1,Quia velit nulla nam rem neque. Ea aliquam et placeat recusandae excepturi culpa sint. Voluptas consequatur nobis explicabo.
In,1993-02-24
1,243437021836,Occaecati deleniti reprehenderit mollitia placeat aut quos.,87,0,Laudantium consequatur asperiores optio porro. Temporibus commodi ullam deleniti qui cum dolores. Quisquam sed sint voluptas ve,1984-01-20
2,355211335443,Hic autem ad dolores perferendis.,1,1,Qui animi tenetur rerum occaecati dolores reiciendis. Ullam blanditiis et iure. Aut a quisquam et reiciendis. Est molestiae bla,2007-11-20
3,523084086685,Possimus neque minima aut nobis magnam est.,20908,0,Et ipsam a iure molestias nobis. Et cupiditate quos deleniti cumque et dolore iure. Et labore itaque illum tempora consequatur ,1981-05-22
4,248248684173,Labore nihil non vel sequi vero quis fuga.,0,1,Possimus laudantium mollitia facere consequuntur. Saepe qui quod doloremque sit earum porro quisquam praesentium.,1998-03-10
5,897885946233,Ut accusamus in ut voluptas hic ab molestias.,1,0,Nihil doloribus ut culpa exercitationem. Et sunt placeat dolorem saepe aut. Dolor reiciendis et aliquam iste occaecati possimus,1983-09-25
6,485407630872,Voluptas voluptatibus ut architecto earum quia nam rem.,478072846,1,Eos asperiores autem quia et qui qui quo. Ut saepe quam quia et. In ullam quia aut ipsum consequatur similique.,2000-05-06
7,853564641105,At quibusdam quae sed omnis.,44766,1,Aspernatur quisquam magnam ut corrupti ducimus delectus. Fuga quaerat exercitationem sint quaerat voluptatibus sit facilis ut. ,1983-04-19
8,758580370518,Qui ad rerum sit nesciunt autem odio.,32486814,1,Repellat id iure a sapiente voluptatem quo. Illo ducimus eveniet porro sint non dolor autem.,2019-03-11
9,935745079688,Saepe ab qui quia necessitatibus porro temporibus.,6,1,At dolores tempora molestiae. Rem dolorem velit et delectus et omnis dicta.,1970-09-18
11,532060649193,Sunt adipisci possimus saepe soluta dolores illum.,8,0,Fugit ipsum nulla aut ipsam quam delectus sed numquam. Est nemo voluptate blanditiis voluptas dolore accusamus qui qui. Similiq,1984-07-12
12,465089857141,Voluptatibus dolores aut ipsum deserunt velit.,3,1,Dolor natus ut voluptatem in et. Dolor quos quidem eius officia occaecati in pariatur. Corrupti esse dolorum et aut esse impedi,1991-02-07
13,641452788472,Aut illo maiores sit sint.,478072846,0,Nam velit culpa est sit ut illo. Fuga in omnis et. Qui rerum eaque voluptatum sint.,1993-01-01
14,022314320415,Voluptate rerum amet delectus velit suscipit.,60505,0,Libero odit eos excepturi. Temporibus cumque dolor sint in. Et velit incidunt architecto velit. Voluptas dolore rerum qui saepe,1984-09-17
15,918791704461,Consectetur dolorum qui quae saepe.,6034081,1,Excepturi necessitatibus rerum veniam quia. Voluptatum in ab ut ut rerum. Ea quo labore et est. Asperiores voluptatem dolore ma,1979-01-19
16,076131748259,Expedita reprehenderit quae maxime.,814751531,0,Delectus quo omnis blanditiis illum accusamus. Ut maiores quo suscipit. Aliquam voluptas omnis hic eaque tenetur voluptatum. Re,1998-03-20
17,669016349676,Blanditiis ut est quia quia.,30,0,Dolores sapiente esse iusto id deleniti eos. Culpa esse sed hic sed quo velit. Nihil illo asperiores hic repellat.,1985-10-16
19,607093098419,Rem ipsum tenetur alias accusamus omnis unde a.,17940666,0,Molestiae culpa enim id in aspernatur cupiditate. Sit non voluptate iste voluptatum omnis molestiae. Est eum quasi dolore dolor,1974-02-19
20,020516650826,Quis aut consequatur ipsa ut debitis officia.,494564417,0,Ea ipsam et ipsa qui. Dolore voluptas qui vitae vitae qui corrupti. Animi maxime veritatis pariatur eos est eligendi ut et.
Est,1996-12-09
22,420326987729,Modi error inventore facere odit.,755,0,Sit impedit quos iste aperiam. Consectetur eos fuga dicta aspernatur. Fugit velit non est ut esse sint dolore minus. Est est ar,2007-03-16
