copy_id,cardholder_id,checked_out,checked_in,
1,1,1989-06-10 06:17:54,1978-05-12 07:51:14,
2,2,2016-08-02 19:03:17,,
3,3,2008-11-08 08:42:29,1976-09-02 09:58:05,
4,4,2015-09-28 01:26:27,,
5,5,2000-01-20 15:47:54,,
6,6,2004-09-16 02:55:45,1996-12-16 18:54:14,
7,7,2020-07-17 14:42:15,2009-01-28 01:43:35,
8,8,1979-01-18 02:41:48,,
9,9,2021-05-22 03:13:06,,
10,10,2005-09-11 12:42:26,1985-02-10 20:10:25,
11,11,1986-03-14 04:41:28,2014-01-24 02:07:21,
12,12,1996-10-29 08:26:14,,
13,13,2003-03-31 04:40:59,,
14,14,1977-12-01 12:42:43,,
15,15,1973-06-01 01:45:22,,
16,16,2017-06-10 07:58:54,,
17,17,1986-06-20 00:05:32,,
18,18,1985-09-13 15:51:32,2005-03-13 20:57:30,
19,19,2013-01-27 04:20:57,,
20,20,1989-01-17 10:27:54,,
21,21,1985-07-18 08:43:59,,
22,22,2017-09-29 23:09:47,,
23,23,1998-10-24 10:22:16,1970-06-07 06:46:58,
24,24,2013-09-28 12:25:31,,
25,25,1972-01-31 18:20:19,,
26,26,1993-08-05 21:32:03,,
27,27,1986-04-21 21:09:32,2016-06-12 18:08:29,
28,28,2017-07-28 18:28:39,1984-05-30 17:32:21,
29,29,1978-06-14 16:06:01,,
0,0,1983-09-15 04:36:01,,
