cid,book_id,branch_id
3811930,256,65
8874928,714417,11
11278540,5633,96
11758107,90071911,7253076
16409021,2,78
21227193,76460661,65
28012337,88021511,53172
28959398,18570,11
35683014,89495,11
41320555,343,28410
48676202,67165,11
54738188,930014220,78
67662260,10410,53172
70986019,70425,7253076
73256695,525914250,12617
77639417,5129,12617
80915338,897218679,89
88662628,88866,7253076
95545231,349480,8981887
104173271,250,11
105444022,59182,7253076
105521139,598,65
106139322,63391121,12617
108385954,308,65
114920543,274287,28410
119627598,1,65
125906103,5,12617
134395128,640,8981887
134473193,219,89
136346653,6468014,8981887
137184343,6862410,96
145230995,5631,89
146123756,380084411,28410
160253220,494143,12617
162473773,3891,96
173532761,4027,8981887
173653873,115990,11
182763510,408488280,11
185131679,709,53172
187139118,63418,96
188215230,9652277,65
189477376,556479,12617
200946218,50555083,11
209510552,6123,28410
210317366,6413,11
212374353,44724,11
213380617,41924,53172
214854858,94829,11
215299437,73365,65
215759978,623190,11
217406126,4489334,8981887
219207662,78953081,12617
222247835,177624,11
223028803,593269882,28410
224814025,858882133,11
225058063,109958137,11
225996027,24716575,7253076
243120521,58729,53172
250514397,84635292,53172
250949395,20980,28410
261178214,460524,78
261845451,72,7253076
263185242,7825916,12617
266158610,7,53172
267666016,189318457,8981887
268058365,5047,78
271448528,7323,12617
272877004,6301,7253076
275561945,1257,11
277601163,873319,28410
282270936,37404,78
288805752,17132383,12617
293871264,7428,7253076
302916436,989,7253076
304130148,938307,12617
306029733,720,11
323457269,292,28410
353988683,62795,78
355317447,263936,12617
356249853,80447326,53172
358493315,728,96
362730010,99645,53172
367177875,979,28410
370128243,354,11
376083014,923393979,11
377815121,8185575,28410
379445435,36174658,11
380088455,22131,11
383629123,46647266,12617
392207951,8440,78
394058433,7474857,65
400688836,95,12617
404669937,897934401,96
405327048,64861,53172
406038954,922,7253076
406586535,163118720,11
408593656,1107338,89
409037319,278114,7253076
416594778,7877118,28410
416825260,9346,12617
433543109,80391,11
435312791,432231711,28410
451886427,98127005,7253076
459336372,931006977,89
460222855,275441,53172
467629193,48867,78
483362533,362049558,89
487225028,116011,65
492446886,69922,96
501198655,9353865,89
506142116,814096,96
508425209,8012208,78
508620198,3177,7253076
510842238,722,78
514167777,206704,78
522682585,7959945,7253076
527694572,447,53172
531518279,700199,8981887
534492088,98,7253076
544316716,20453559,65
544355234,84875737,7253076
544779980,393388,12617
547829738,268,78
550102515,634462,89
550781243,790416,8981887
558320859,5351,8981887
563262412,7970187,11
567578780,100013,7253076
570222090,176159578,12617
570409582,78,96
571222515,84,7253076
574597139,640907,96
578071359,4017,7253076
585184120,7764,89
587354047,632024,78
613915672,20,7253076
621883445,5840,28410
625324046,6049,96
626121301,87349143,89
628006338,0,11
629263315,289264,8981887
635199019,52531,11
635226663,12248,78
640366444,480645805,11
652390573,249048906,11
655944153,91607,89
656994712,216,65
658961364,199,7253076
665376615,158620,28410
666796291,46000007,96
667568356,4396539,53172
671109743,9539,11
674658341,49843316,7253076
677340935,879,11
677458955,66606888,78
679718878,872,7253076
684008897,914667049,53172
690936986,59358643,28410
695741750,844431620,53172
703681777,127,78
705851401,77721,53172
715312451,8512104,7253076
716849464,61853383,96
723905234,557728,28410
725618247,21430995,96
725878414,846930,65
730658150,99,8981887
736321637,8110480,96
739346913,601564746,53172
754092055,6578,12617
757241106,9495993,28410
760338004,86392437,8981887
761891922,690,12617
764025054,32693068,53172
765757338,333,12617
766499748,9653,89
768837168,201947,65
775830448,39315337,28410
795143754,803680,78
797098532,871712811,65
801901200,173461971,89
802538985,236416,8981887
811608050,67869,65
821320585,162239,53172
822201585,7859,12617
823829381,795,78
835228247,63,78
837926194,8,7253076
838078509,940535548,96
838170520,362683,11
841939659,72599,11
844665942,321,78
847901510,3942,12617
850112572,501977,53172
859502405,555507,96
864563271,495515,28410
864906186,24,65
869836032,498710232,89
869883718,4335,12617
873646439,47459,8981887
875343274,19590,89
876918861,21252908,89
884177546,88298,28410
885567877,75168465,53172
