copy_id,cardholder_id,checked_out,checked_in
3811930,0,2015-05-20 05:37:26,0000-00-00 00:00:00
8874928,2,2005-08-25 21:33:55,2009-12-27 05:51:45
11278540,4,2002-12-10 15:56:19,0000-00-00 00:00:00
11758107,5,2017-05-09 05:07:59,1985-01-27 12:44:21
16409021,6,1977-07-18 14:31:25,0000-00-00 00:00:00
21227193,7,1981-01-18 09:52:30,2005-09-13 08:33:49
28012337,8,1999-06-01 03:51:17,0000-00-00 00:00:00
28959398,11,1977-06-11 22:03:02,2013-05-13 04:12:53
35683014,12,1978-10-08 17:59:34,1999-09-08 04:31:41
41320555,15,2005-10-20 15:05:49,1976-11-17 13:33:41
48676202,20,1973-01-23 06:14:32,2003-07-10 04:37:20
54738188,24,1997-09-10 15:22:29,0000-00-00 00:00:00
67662260,25,2003-05-26 23:58:20,1990-04-18 09:46:06
70986019,27,1976-10-19 13:34:48,1971-02-28 07:46:20
73256695,28,1992-10-11 22:19:48,2017-01-25 22:39:29
77639417,29,2014-09-06 04:12:09,2005-07-22 00:00:23
80915338,38,1991-08-09 21:54:04,2021-07-04 23:40:23
88662628,46,1972-02-01 03:50:37,2008-07-10 18:45:15
95545231,50,2001-11-01 23:21:29,0000-00-00 00:00:00
104173271,54,1999-11-24 13:57:47,0000-00-00 00:00:00
105444022,56,2015-01-26 11:43:31,2013-08-31 05:38:46
105521139,92,1993-07-06 00:31:41,0000-00-00 00:00:00
106139322,97,1979-11-27 20:51:26,0000-00-00 00:00:00
108385954,247,2023-01-07 23:46:51,2017-11-29 13:37:18
114920543,404,2010-05-24 02:50:23,1984-12-27 23:44:36
119627598,537,1985-02-24 04:03:49,0000-00-00 00:00:00
125906103,588,2004-12-08 09:47:26,1977-02-06 20:33:01
134395128,692,2003-08-28 08:10:40,2008-11-21 08:16:13
134473193,902,2012-04-17 21:03:26,1982-02-15 03:09:30
136346653,992,2016-05-21 15:54:24,2021-05-02 19:32:18
137184343,2056,2004-09-18 16:54:29,2004-09-26 23:57:53
145230995,2206,1987-02-24 16:57:22,2009-05-03 12:36:51
146123756,2273,1999-07-15 16:01:01,0000-00-00 00:00:00
160253220,4072,1989-12-25 10:00:55,0000-00-00 00:00:00
162473773,5775,1979-02-15 17:35:47,0000-00-00 00:00:00
